number,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,carbohydrate,fiber,sugars,lactose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,water
317,"Babyfood,  pretzels",100,397,2,0.4,0,10.8,82.2,2.3,3.08,0,2,0.4,0.238,1.054,4
5274,"Cereals ready-to-eat,  KELLOGG'S KRAVE chocolate cereal",100,397,11,2.5,0.001,7,76.1,9.9,35.7,0,11.1,2.5,2.8,5.2,3.5
5731,"Cereals ready-to-eat,  KELLOGG'S KRAVE double chocolate cereal",100,397,11,2.6,0.001,7.1,75.9,10.6,36.3,0,11.2,2.6,2.8,5.2,3.5
4399,"Cereals ready-to-eat,  Cocoa DYNO-BITES",100,397,3.4,2.6,0,4.15,87.93,1.1,43.15,0,3.43,2.58,0.25,0.21,3
3188,"Cereals ready-to-eat,  COCOA PEBBLES",100,397,4.1,3.6,0,4.8,85.7,1.6,35.8,0,4.1,3.6,0.2,0.1,2.5
3826,"Cereals ready-to-eat,  Christmas Crunch",100,397,4.8,3.1,0,4.44,85.92,2.6,44.31,0,4.83,3.081,0.627,0.751,2.5
5751,"Cereals ready-to-eat,  CAP'N CRUNCH with CRUNCHBERRIES",100,397,4.8,3.1,0,4.45,85.93,2.6,44.2,0,4.83,3.08,0.63,0.75,2.5
3848,"Cereals ready-to-eat,  KELLOGG'S CINNAMON JACKS",100,397,7.8,1.3,0,5.9,83,9,33.9,0,7.8,1.29,3.29,2.7,2.29
2506,"Pork and beef sausage,  cooked",100,396,36,13,0.071,13.8,2.7,0,0,0,36.25,12.96,17.18,3.9,44.55
1789,"Salami,  less sodium",100,396,31,11,0.09,15.01,15.38,0.2,6.21,0,30.5,10.58,13.32,3.067,33.74
7037,"Formulated bar,  SNICKERS MARATHON Chewy Chocolate Peanut Bar",100,396,13,4.7,0.004,24.29,47.24,2.5,32.86,0,13.12,4.728,0,0,12.9
830,"Muffins,  dry mix",100,396,12,2.9,0,7.1,73,0,0,0,12,2.939,6.403,1.904,4.8
1923,"Babyfood,  dry",100,396,2.4,0.5,0,6.7,86.89,3,3.22,0,2.4,0.503,0.615,0.92,3.2
3362,"KASHI,  Original",100,396,12,1.1,0,10.6,73.4,12.2,0.4,0,11.6,1.1,6,4.5,3
6117,"Cereals ready-to-eat,  OAT BLENDERS with honey",100,396,4.2,0.5,0,6.78,84.94,5,21.62,0,4.17,0.5,1.66,0.92,3
5065,"Cereals ready-to-eat,  BERRY COLOSSAL CRUNCH",100,396,4.2,1.2,0,4.19,86.55,1.8,41.66,0,4.17,1.214,1.274,0.996,2.5
2228,"Candies,  starch jelly pieces",100,396,0,,0,0,98.9,0.1,58.97,0,0,0,0,0,1
5892,"KELLOGG'S,  Frosted Apple Strudel Toaster Pastries",100,395,11,3.5,0,4.4,70.5,1.5,28,0,10.8,3.5,2.4,4,12.8
1660,"Bread crumbs,  plain",100,395,5.3,1.2,0,13.35,71.98,4.5,6.2,0,5.3,1.203,1.023,2.06,6.51
4183,"Cereals ready-to-eat,  POST SELECTS Blueberry Morning",100,395,5.3,0.6,0,6.5,81.6,4.7,29.2,0,5.3,0.6,2.9,1.5,4.7
6355,"Cereals ready-to-eat,  KELLOGG'S RICE KRISPIES TREATS Cereal",100,395,4.2,0.9,0.001,4.3,85.59,0.4,29.6,0,4.19,0.89,1.2,0.2,3.5
5993,"Cereals ready-to-eat,  KELLOGG'S CRACKLIN' OAT BRAN",100,395,14,6.2,0,9.2,70.3,12.7,28,0,14.1,6.2,4.9,2.8,3
6328,"Cereals ready-to-eat,  Cap'n Crunch's OOPS! All Berries Cereal",100,395,4,2.3,0,4.6,87.1,2.6,44.18,0,3.99,2.291,0.593,0.764,2.5
556,"Cheese,  colby",100,394,32,20,0.095,23.76,2.57,0,0.52,0,32.11,20.218,9.28,0.953,38.2
1754,"ON THE BORDER,  cheese quesadilla",100,394,26,13,0.059,16.87,24.25,2.2,2.04,0.18,25.5,12.976,6.309,2.361,30.31
6089,"KELLOGG'S,  Frosted Pumpkin Pie Toaster Pastries",100,394,11,3.4,0.002,4.7,70.6,1.5,28.6,0,10.5,3.4,2.3,3.9,12.75
224,"Candies,  YORK BITES",100,394,7.3,4.4,0.001,1.78,81.64,2,75,0,7.32,4.43,0.48,0.1,9.09
3376,"Cereals ready-to-eat,  RALSTON CRISP RICE",100,394,1.3,0.4,0,6.69,86.22,0.7,12.12,0,1.26,0.36,0.243,0.293,3.62
6216,"Cereals ready-to-eat,  HONEY BUNCHES OF OATS with vanilla bunches",100,394,5.1,0.6,0,7.9,81.8,7.8,20.7,0,5.1,0.6,2.5,1.7,3
4069,"Cereals ready-to-eat,  Honeycomb Cereal",100,394,2.9,1.3,0,6.01,86.63,3.2,31.51,0,2.93,1.29,0.6,0.91,1.5
4671,"Candies,  dietetic or low calorie (sorbitol)",100,394,0,,0,0,98.6,0,0,0,0,0,0,0,1.4
541,"Candies,  hard",100,394,0.2,,0,0,98,0,62.9,0,0.2,0,0,0,1.3
566,"Cheese,  swiss",100,393,31,18,0.093,26.96,1.44,0,0,0,30.99,18.227,8.046,1.341,37.63
5958,"KELLOGG'S,  Frosted Sugar Cookie Toaster Pastries",100,393,11,3.5,0,4.5,70.2,1.3,27.5,0,10.6,3.5,2.3,3.8,12.8
4461,"KELLOGG'S,  Gingerbread Toaster Pastries",100,393,11,3.5,0,4.1,70.8,1.4,28.6,0,10.5,3.5,2.2,3.8,12.75
3364,"Crackers,  low-sodium",100,393,1.6,0.2,0,10.5,82.3,2.7,0.38,0,1.6,0.244,0.142,0.685,3.4
3530,"Pork sausage,  unheated",100,392,37,12,0.074,13.46,0.69,0,0.53,0,37.25,12.129,14.736,6.916,45.96
1335,"Cheese,  hard",100,392,26,16,0.068,35.75,3.22,0,0.8,0,25.83,16.41,7.515,0.569,29.16
5222,"Toaster Pastries,  S'mores",100,392,11,2.8,0,6.2,69.6,1.4,36.5,0,10.5,2.8,5.9,1.8,12.5
966,"Babyfood,  teething biscuits",100,392,4.2,1.2,0.007,10.7,76.4,1.4,12.65,0,4.2,1.206,1.702,0.998,6.4
220,"Spices,  celery seed",100,392,25,2.2,0,18.07,41.35,11.8,0.67,0,25.27,2.19,15.93,3.72,6.04
2988,"Snacks,  sesame seed",100,392,3.8,0.5,0,7.6,81.5,5.4,0,0,3.8,0.54,1.1,1.15,5.9
3423,"Rice cake,  cracker (include hain mini rice cakes)",100,392,4.3,0.9,0,7.1,81.1,4.2,0.88,0,4.3,0.875,1.582,1.52,5.8
5509,"Cereals ready-to-eat,  CHOCOLATE MARSHMALLOW MATEYS",100,392,3.7,1.6,0,3.5,88.18,2.5,55.45,0,3.67,1.6,1.6,0,2
4796,"Cake,  with vanilla frosting",100,391,18,2.9,0.075,2.99,56.2,0.3,41.79,0,17.91,2.936,7.563,6.378,22.1
6985,"KELLOGG'S,  Ice Cream Shoppe Frosted Hot Fudge Sundae Toaster Pastries",100,391,11,3.9,0.002,4.4,69.8,3.3,24.7,0,10.8,3.9,2.2,3.6,13.6
6725,"KELLOGG'S,  Frosted Wild Fruit Fusion Toaster Pastries",100,391,9.7,3.1,0,3.9,72.3,1.3,30.8,0,9.7,3.1,2.1,3.6,12.75
6651,"Toaster Pastries,  Frosted blueberry",100,391,10,2,0,4.6,71.77,1.1,31.2,0,10,1.98,6.83,1.13,12.5
1994,"Crackers,  egg and onion",100,391,3.9,0.9,0.045,10,77.1,5,0,0,3.9,0.936,0.987,1.001,7.2
195,"Crackers,  egg",100,391,2.1,0.5,0.083,12.3,78.6,2.8,0,0,2.1,0.548,0.612,0.473,6.4
117,"Candies,  butterscotch",100,391,3.3,2.1,0.009,0.03,90.4,0,80.46,0,3.3,2.065,0.845,0.122,5.25
4520,"Cereals ready-to-eat,  TOOTIE FRUITIES",100,391,3.2,0.7,0,4.69,85.94,2.2,45.31,0,3.2,0.687,1.47,0.976,2.5
2509,"Babyfood,  Baby MUM MUM Rice Biscuits",100,391,0.9,0.2,0,12.5,83.21,0,12.5,0,0.87,0.238,0.224,0.255,2.42
1156,"Salad dressing,  coleslaw",100,390,33,4.9,0.026,0.9,23.8,0.1,20.11,0,33.4,4.9,9,18,39.9
5259,"Imitation cheese,  low cholesterol",100,390,32,5.8,0.015,25,1,0,1,0,32,5.815,14.127,10.615,38
3744,"Bread,  pan de torta salvadoran",100,390,17,3,0,7.06,51.29,1.7,18.1,0,17.45,3.042,4.411,9.424,22.38
2693,"Candies,  soft fruit and nut squares",100,390,9.5,0.9,0,2.31,73.81,2.4,45.95,0,9.52,0.898,1.297,6.84,13.88
6883,"KELLOGG'S,  Ice Cream Shoppe Frosted Ice Creme Sandwich Toaster Pastries",100,390,11,3.8,0.002,4.6,69.4,3.5,23.5,0,10.9,3.8,2.2,3.7,13
4881,"KELLOGG'S,  Frosted Wild Grape Toaster Pastries",100,390,9.8,3.1,0,4.1,71.8,1.3,30.5,0,9.8,3.1,2.1,3.6,12.8
5957,"KELLOGG'S,  Frosted Spring Berry Toaster Pastries",100,390,9.6,3.1,0,4,72.3,1.3,31.3,0,9.6,3.1,2.1,3.6,12.75
6560,"Toaster Pastries,  Frosted wild berry",100,390,9.5,3.1,0,4,72.4,1.3,31.7,0,9.5,3.1,2.1,3.5,12.75
2219,"Candies,  milk chocolate coated raisins",100,390,15,10,0.003,4.1,68.4,3.1,62.22,0,14.8,10.272,3.134,0.571,11.2
3178,"Piki bread,  made from blue cornmeal (Hopi)",100,390,7.2,0.8,0,9.06,72.22,9.2,1.6,0,7.16,0.819,1.783,1.623,8.98
4918,"Cereals ready-to-eat,  POST GREAT GRAINS Banana Nut Crunch",100,390,8.8,1.1,0,9.8,70.9,11.2,17.5,0,8.8,1.1,3.78,3.44,5.6
777,"Crackers,  plain",100,390,3.2,0.4,0,12.1,76.6,6.3,0.94,0,3.2,0.445,0.782,1.282,5.1
3048,"Crackers,  without salt",100,390,3.2,0.4,0,12.1,76.6,6.3,0,0,3.2,0.445,0.782,1.282,5.1
7295,"Snacks,  Crunchy Almond/Brown Sugar",100,390,7.4,1.1,0,8,78,6.2,0,0,7.4,1.1,1.8,4.5,5
6495,"GEORGE WESTON BAKERIES,  dry",100,390,5.1,0.9,0,13.3,72.7,5.4,0,0,5.1,0.9,2.04,0.761,4
6526,"Cereals ready-to-eat,  Crunchy Almond",100,390,6.7,1.1,0,9.89,78.09,8.2,22.89,0,6.69,1.1,3.1,2.2,2.9
3365,"Cereals ready-to-eat,  Waffle Crisp",100,390,5,0.9,0,6.6,83,4.4,34.7,0,5,0.9,1.7,1.7,2.5
3824,"Cereals ready-to-eat,  Apple ZINGS",100,390,2.7,0.7,0,4.51,87.3,2.3,44.61,0,2.71,0.73,0.55,0.67,2.5
7452,"Cereals ready-to-eat,  Peanut Butter",100,390,6.2,0.9,0,6.8,82,6,32.5,0,6.19,0.89,2.7,2.29,2
489,"Cheese,  fontina",100,389,31,19,0.116,25.6,1.55,0,1.55,0,31.14,19.196,8.687,1.654,37.92
6315,"Cake,  unenriched",100,389,18,4.6,0.058,5.2,52.5,1,0,0,17.9,4.647,9.935,2.251,23.1
6499,"Cake,  enriched",100,389,18,4.6,0.058,5.2,52.5,1,0,0,17.9,4.647,9.935,2.251,23.1
7079,"Cake,  in-store bakery",100,389,20,5.9,0.022,3.48,52.84,2.2,39.96,0.46,20.05,5.917,7.343,4.622,22.04
677,Oats,100,389,6.9,1.2,0,16.89,66.27,10.6,0,0,6.9,1.217,2.178,2.535,8.22
6415,"Snacks,  gluten- free made with cornstarch and potato flour",100,389,6.7,3.3,0,3.52,78.62,3.3,4.22,0,6.67,3.307,2.406,0.63,6.91
4474,"Crackers,  rye (includes pumpernickel)",100,389,3.4,0.5,0,11.6,77.3,8,0,0,3.4,0.453,0.907,1.347,4.9
1452,"Bread stuffing,  dry mix",100,389,4.2,0.9,0,10,76.7,14.3,13.16,0,4.2,0.922,1.662,1.073,4.6
5029,"Finger snacks,  apple and cinnamon",100,389,2.3,0.1,0,6.19,85.79,3.8,17.84,0,2.3,0.143,0.306,0.527,3.62
7420,"Cereals ready-to-eat,  KELLOGG'S Low Fat Granola without Raisins",100,389,5.7,1.4,0,8.7,80.9,7,28.3,0,5.7,1.39,2.5,1.6,3.5
4665,"Cereals ready-to-eat,  Frosted Flakes",100,389,0.9,0.1,0,4.25,90.2,1.2,39.27,0,0.87,0.107,0.171,0.435,3
5132,"Cereals ready-to-eat,  KELLOGG'S COCOA KRISPIES",100,389,2.7,2.1,0,4.6,87.9,1.4,38.6,0,2.7,2.1,0.3,0.1,2.81
2730,"KASHI,  Fire Roasted Vegetable Crackers",100,389,12,1.1,0,12,64.6,8.7,7.3,0,12.2,1.1,5.8,3.7,2.5
2736,"Cereals ready-to-eat,  COCO-ROOS",100,389,4.6,2.6,0,3.41,86.75,3.3,48.11,0,4.61,2.57,0.887,0.555,2.5
6434,"Babyfood,  instant fortified",100,389,0.9,0.2,0,6.6,88.5,2.6,1.35,0,0.9,0.185,0.252,0.231,2
2265,"Cereals ready-to-eat,  ALPHA-BITS",100,389,4.6,1.1,0,10,80.3,7.1,21,0,4.6,1.1,1.5,1.8,1.2
407,"Sugars,  powdered",100,389,0,,0,0,99.77,0,97.81,0,0,0,0,0,0.23
4875,"Macaroni or noodles with cheese,  unprepared",100,388,6.6,2.8,0.008,11.48,70.75,1.6,8.2,0,6.56,2.814,1.625,1.987,8.07
2602,"Beverages,  Protein powder soy based",100,388,5.6,1.1,0,55.56,28.89,6.7,22.22,0,5.56,1.111,1.057,2.701,4.13
7471,"Cereals ready-to-eat,  Low Fat 100% Natural Granola with Raisins",100,388,5.5,1,0.001,8.42,80.57,9.6,25.65,0,5.52,0.97,2.548,1.438,3.4
5324,"Cereals ready-to-eat,  Honey Nut TOASTY O'S",100,388,4.5,0.6,0,8.6,79.84,6.3,30.17,0,4.51,0.55,1.05,1.1,2.5
771,"Cereals ready-to-eat,  FAMILIA",100,388,6.3,0.7,0,9.5,73.8,8.5,23.2,0,6.3,0.711,3.205,1.656,1.9
428,"Cheese,  cheshire",100,387,31,19,0.103,23.37,4.78,0,0,0,30.6,19.475,8.671,0.87,37.65
510,"Cheese,  romano",100,387,27,17,0.104,31.8,3.63,0,0.73,0,26.94,17.115,7.838,0.593,30.91
6563,"KELLOGG'S,  Chocolate Chip Cookie Dough Toaster Pastries",100,387,11,3.8,0,4.5,69.4,1.5,35.5,0,10.5,3.8,2.4,3.4,12.8
1339,Chickpea flour (besan),100,387,6.7,0.7,0,22.39,57.82,10.8,10.85,0,6.69,0.693,1.504,2.983,10.28
2081,"Candies,  chocolate-flavor roll",100,387,3.3,1,0.002,1.59,87.73,0.1,56.32,0,3.31,0.967,1.929,0.266,6.69
3091,"Snacks,  multigrain",100,387,3.5,0.6,0,8.5,80.1,3,0,0,3.5,0.56,1.16,1.44,6.3
281,"Snacks,  corn cakes",100,387,2.4,0.4,0,8.1,83.4,1.9,23.47,0,2.4,0.42,0.76,0.93,4.6
2714,"Snacks,  very low sodium",100,387,2.4,0.4,0,8.1,83.4,0,0,0,2.4,0.42,0.76,0.93,4.6
899,"Snacks,  air-popped",100,387,4.5,0.6,0,12.94,77.78,14.5,0.87,0,4.54,0.637,0.95,2.318,3.32
4535,"Cereals ready-to-eat,  KELLOGG'S CORN POPS",100,387,1.3,0.5,0,4.8,89.7,8.4,31.3,0,1.3,0.5,0.2,0.5,3
1277,"Milk,  dried",100,387,5.8,3.6,0.069,34.3,49,0,49,0,5.78,3.598,1.669,0.215,2.97
6210,"Cereals ready-to-eat,  MEDLEY CRUNCH",100,387,5.4,0.9,0,9.1,79.5,7.5,29.1,0,5.4,0.89,2.29,1.89,2.7
5486,"Cereals ready-to-eat,  CHOCO ZUCARITAS",100,387,3.5,2.6,0,5.1,85.1,1.4,38.1,0,3.5,2.6,0.6,0.2,2.65
5421,"Cereals ready-to-eat,  Honey Nut SCOOTERS",100,387,4.5,0.6,0,8.59,79.62,6.3,29.97,0,4.51,0.63,1.11,1.32,2.5
4110,"Cereals ready-to-eat,  MARSHMALLOW MATEYS",100,387,3.5,0.7,0,6.94,82.77,4.9,40.91,0,3.53,0.719,1.42,1.3,2.19
4993,"Cereals ready-to-eat,  Multi-Grain Squares",100,387,1.9,,0,9.39,83,7.5,13.19,0,1.89,0,0.2,0.3,1.89
328,"Sugars,  granulated",100,387,0,,0,0,99.98,0,99.8,0,0,0,0,0,0.02
694,"Smelt,  dried (Alaska Native)",100,386,18,3.6,0.249,56.19,0,0,0,0,17.9,3.59,6.86,2.884,16.92
7204,"Formulated bar,  all flavors",100,386,11,4.8,0.004,21.91,50.3,6.7,28.71,0,10.79,4.753,3.92,1.917,14
6732,"Formulated bar,  milk chocolate peanut",100,386,8.9,5.4,0.007,16.19,60.21,5.1,25,0,8.92,5.36,2.428,1.132,10.87
144,"Corn,  dried (Navajo)",100,386,5.2,0.8,0,9.88,74.93,0,5.38,0,5.22,0.82,1.483,1.9,8.1
743,"Corn,  steamed (Navajo)",100,386,5.2,0.8,0,9.72,75.2,16.6,6.47,0,5.18,0.83,1.483,1.862,8.09
3514,"Cookies,  lowfat",100,386,5.7,,0,5.71,77.96,5.7,22.86,0,5.71,0,1.718,3.367,8.01
2610,"Snacks,  rye",100,386,3.8,0.6,0,8.1,79.9,4,0,0,3.8,0.58,1.31,1.55,6.8
7370,"Cereals ready-to-eat,  25% Less Sugar CINNAMON TOAST CRUNCH",100,386,9.9,1,0,5.09,78.19,11.2,21.39,0,9.89,1,6.5,2.09,2.5
5862,"Cereals ready-to-eat,  APPLE CINNAMON CHEERIOS",100,386,6.1,1.1,0,8.3,79.9,7.3,34.2,0,6.09,1.1,2.79,1.89,2.29
3844,"Cereals ready-to-eat,  BOO BERRY",100,386,4.3,0.5,0,5.5,85.4,4.2,27.29,0,4.3,0.5,2.09,1.39,1.89
4667,"Cereals ready-to-eat,  FRANKENBERRY",100,386,4.3,0.5,0,5.5,85.4,4.2,27.29,0,4.3,0.5,2.09,1.39,1.89
190,"DENNY'S,  onion rings",100,385,22,3.7,0,5.29,41.05,2.4,4.76,0,22.23,3.729,4.611,10.56,28.92
6137,"Cereals ready-to-eat,  presweetened with nuts and fruits",100,385,5.6,0.8,0,7.1,76.2,9.7,23.6,0,5.6,0.8,1.951,2.293,8.5
2728,"Beverages,  EAS whey protein powder",100,385,5.1,2.6,0.205,66.67,17.95,0,5.13,0,5.13,2.564,0.281,0.926,6.61
2525,"Snacks,  corn",100,385,3.2,0.6,0,8.4,81.2,2.9,0,0,3.2,0.63,1.14,1.13,5.9
6660,"Cereals ready-to-eat,  KELLOGG'S HONEY CRUNCH CORN FLAKES",100,385,1.9,0.3,0,6.8,87,3.4,33,0,1.9,0.3,1,0.6,3
2460,"KASHI,  Original 7-Grain Crackers",100,385,12,1.2,0,13.9,63.2,9,13.5,0,11.9,1.2,5.5,3.9,2.5
3846,"Cereals ready-to-eat,  CORN BURSTS",100,385,0.4,0.1,0,3.32,90.59,1.9,46.88,0,0.35,0.093,0.084,0.157,2.5
6441,"Cereals ready-to-eat,  KELLOGG'S CRUNCHY NUT Golden Honey Nut flakes",100,385,3.9,0.6,0,6.7,83.3,2.4,33.5,0,3.9,0.6,2.8,0.4,2.5
5088,"Beverages,  with added ascorbic acid",100,385,0.3,,0,0.6,97.6,0,0,0,0.3,0.037,0.011,0.091,0.3
6176,"Toaster Pastries,  Frosted chocolate fudge",100,384,9.3,3.2,0,4.9,70.4,2.1,35,0,9.3,3.2,2,3.2,12.75
1117,"Cornmeal,  yellow (Navajo)",100,384,5.9,1,0,9.85,72.9,9.4,1.56,0,5.88,1.043,2.143,2.352,10.15
1886,"Candies,  YORK Peppermint Pattie",100,384,7.2,4.3,0.001,2.19,80.99,2,63.78,0,7.17,4.34,0.41,0.11,9.03
752,"Noodles,  unenriched",100,384,4.4,1.2,0.084,14.16,71.27,3.3,1.88,0,4.44,1.18,1.252,1.331,9.01
981,"Noodles,  enriched",100,384,4.4,1.2,0.084,14.16,71.27,3.3,1.88,0,4.44,1.18,1.252,1.331,9.01
5493,"Cereals ready-to-eat,  POST GREAT GRAINS Cranberry Almond Crunch",100,384,5.9,0.8,0,8.9,76.6,11.1,25.5,0,5.9,0.8,3,1.7,6.2
1183,"Snacks,  brown rice chips",100,384,2.8,0.6,0,8.2,81.5,4.2,0.6,0,2.8,0.642,1.03,0.98,5.8
42,"Snacks,  cakes",100,384,3.1,0.5,0,9.7,80.1,2.9,0.72,0,3.1,0.48,0.92,1.35,5
5598,"Cereals ready-to-eat,  KELLOGG'S FROSTED RICE KRISPIES",100,384,0.4,0.1,0,4.3,91.3,0.5,40.2,0,0.4,0.1,0.1,0.1,2.5
3305,"Cereals ready-to-eat,  TRIX",100,384,3.8,0.5,0,4.9,86.19,3.9,32,0,3.79,0.5,1.79,1.39,1.89
43,"Snack,  Mixed Berry Bar",100,383,11,3.8,0,13.16,58.84,7.9,26.32,0,10.53,3.846,2.897,2.058,15.52
594,Cracker meal,100,383,1.7,0.3,0,9.3,80.9,2.6,0.33,0,1.7,0.271,0.152,0.722,7.6
2687,"Bread crumbs,  seasoned",100,383,5.5,1.4,0.001,14.13,68.49,4.9,5.74,0,5.48,1.391,1.168,2.3,6.35
3510,"Cereals ready-to-eat,  QUAKER Puffed Rice",100,383,0.9,0.3,0,7.01,87.78,1.4,0,0,0.9,0.325,0.18,0.345,3.91
5109,"Cereals ready-to-eat,  25% Less Sugar TRIX",100,383,4,0.6,0,5.4,85.5,4.3,25,0,4,0.6,1.7,1.5,2
4577,"Cereals ready-to-eat,  COUNT CHOCULA",100,383,4.7,0.6,0,5.4,84.5,5,33.09,0,4.69,0.6,2.29,1.6,1.89
3542,"Cereals ready-to-eat,  COCOA PUFFS",100,383,5.2,1,0,5.6,83.7,5.7,37.2,0,5.2,1,1.7,2.1,1.8
1494,"Desserts,  dry mix",100,383,0,,0,0,99,0,0,0,0,0,0,0,0.4
600,Millet flour,100,382,4.3,0.5,0,10.75,75.12,3.5,1.66,0,4.25,0.536,0.924,2.618,8.67
387,"Candies,  caramels",100,382,8.1,2.5,0.007,4.6,77,0,65.5,0,8.1,2.476,1.542,3.478,8.5
2203,"Seeds,  partially defatted",100,382,12,1.6,0,40.32,35.14,0,0,0,11.89,1.634,4.405,5.113,6.61
3546,"Steelhead trout,  flesh (Shoshone Bannock)",100,382,8.1,0.8,0.227,77.27,0,0,0,0,8.06,0.829,1.228,1.739,6.49
3543,"Cereals ready-to-eat,  plain",100,382,11,1.8,0,29.1,49.6,15.1,7.8,0,10.7,1.83,1.5,6.62,5.6
2292,"Snacks,  air-popped (Unsalted)",100,382,4.2,0.6,0,12,77.9,15.1,0,0,4.2,0.57,1.1,1.9,4.1
2796,"KELLOGG'S,  Cheddar",100,382,9.4,2.4,0.003,6.4,73.7,9.2,4.3,0,9.4,2.4,1.8,4.1,2.8
4866,"Cereals ready-to-eat,  MOTHER'S Cinnamon Oat Crunch",100,382,4.6,0.8,0,10.6,79.79,8.1,25.37,0,4.56,0.82,1.49,1.46,2.75
4309,"Cereals ready-to-eat,  MOTHER'S COCOA BUMPERS",100,382,1.6,0.3,0,4.21,89.91,2.7,43.12,0,1.61,0.31,0.32,0.66,2.5
0,Cornstarch,100,381,0.1,,0,0.26,91.27,0.9,0,0,0.05,0.009,0.016,0.025,8.32
2244,"Popcorn,  fat-free",100,381,1.4,0.2,0,2,90.06,2.5,64.68,0,1.4,0.2,0.26,0.634,6
7439,"Cereals ready-to-eat,  NATURE VALLEY LOW FAT FRUIT GRANOLA",100,381,4.7,0.9,0,7.9,79.4,5,31.89,0,4.69,0.89,2.1,1.39,5.59
2801,"KRAFT,  STOVE TOP Stuffing Mix Chicken Flavor",100,381,4.1,0.8,0.004,12.6,73.1,2.5,10.1,0,4.1,0.8,0,0,5.3
5310,"Cereals ready-to-eat,  KELLOGG'S RICE KRISPIES",100,381,2.1,0.5,0,6.75,85.05,0.4,9.87,0,2.05,0.458,0.593,0.626,5.06
1787,"Crackers,  seasoned",100,381,9.2,1.3,0,9,73.8,20.9,0,0,9.2,1.287,3.27,3.608,4
259,"Gravy,  dry",100,381,9.7,2.9,0.019,11.27,62.09,0,0,0,9.73,2.92,4.648,1.877,3.85
7030,"Cereals ready-to-eat,  USDA Commodity Rice Crisps (includes all commodity brands)",100,381,1.3,0.4,0,6.45,86.04,0.7,8.35,0,1.27,0.355,0.253,0.325,3.85
6132,"Cereals ready-to-eat,  KELLOGG'S Low Fat Granola with Raisins",100,381,5.2,1.2,0,9,80.1,7.4,27.9,0,5.2,1.2,2.2,1.6,3.8
3025,"Cereals ready-to-eat,  KING VITAMAN",100,381,3.4,1.6,0,6.41,83.85,3.4,20.27,0,3.44,1.584,0.644,1.117,3.35
5931,"Cereals ready-to-eat,  KELLOGG'S SPECIAL K Chocolatey Delight",100,381,7.3,6.3,0,6.5,81.2,10.6,29.9,0,7.3,6.3,0.2,0.6,3
1628,"KASHI,  Sea Salt",100,381,9.2,0.9,0,10.5,72.4,14.7,5.4,0,9.2,0.9,4.4,2.9,2.5
2517,"KASHI,  Zesty Salsa",100,381,9.3,0.9,0,11,71.6,15.3,2.9,0,9.3,0.9,4.4,2.9,2.5
6027,"Cereals ready-to-eat,  CHOCOLATE LUCKY CHARMS",100,381,4.4,0.6,0,5.59,84.4,5.3,36.79,0,4.4,0.6,2.1,1.6,2.29
4301,"Cereals ready-to-eat,  Fruity CHEERIOS",100,381,4.6,0.7,0,5.8,84.19,5.9,32.2,0,4.59,0.69,1.79,1.89,2.2
1122,"Gelatin desserts,  dry mix",100,381,0,,0,7.8,90.5,0,86.04,0,0,0,0,0,1
7216,"Gelatin desserts,  sodium-citrate and salt",100,381,0,,0,7.8,90.5,0,0,0,0,0,0,0,1
4432,"Cereals ready-to-eat,  RICE CRUNCHINS",100,381,2.4,,0,4.76,80.95,4.8,9.52,0,2.38,0,0,0,0
5857,"Rice,  dry",100,380,0.9,0.2,0,7.82,82.32,1.9,0.05,0,0.94,0.152,0.144,0.219,8.38
3286,"Snacks,  buckwheat",100,380,3.5,0.6,0,9,80.1,3.8,0,0,3.5,0.64,1.11,1.11,5.9
3434,"Cereals ready-to-eat,  LUCKY CHARMS",100,380,5,0.9,0,7.67,80.89,5,36.13,0,5.02,0.885,1.586,1.542,4.15
3702,"Beverages,  KELLOGG'S SPECIAL K20 protein powder",100,380,0.6,0.2,0.004,35.2,58.4,37.5,2,0,0.6,0.236,0.146,0.4,3.95
4280,"Cereals ready-to-eat,  HEALTH VALLEY",100,380,3,1,0,10,78,8,22,0,3,1,0.704,0.897,3.4
4177,"Cereals ready-to-eat,  KELLOGG'S HONEY SMACKS",100,380,2.2,0.5,0,5.7,88.5,5,56.2,0,2.2,0.5,0.4,0.5,2.9
4254,"KELLOGG'S,  Southwest Ranch",100,380,8.7,1.8,0.002,6.2,74.8,9.3,4.3,0,8.7,1.8,1.9,4.3,2.8
4779,"Cereals ready-to-eat,  Golden Maple",100,380,4.8,0.9,0,11.3,78.04,8.3,16.82,0,4.83,0.874,1.595,1.524,2.75
4634,"Cereals ready-to-eat,  COOKIE CRISP",100,380,4.4,0.8,0,5.2,84.5,5.1,34.8,0,4.4,0.8,1.4,1.7,2.3
5061,"Cereals ready-to-eat,  Chocolate",100,380,5.1,1,0,5.8,83.5,6.2,34.09,0,5.09,1,1.6,2.2,2.2
6446,"Cereals ready-to-eat,  25% Reduced Sugar",100,380,5.2,0.8,0,6.5,82.69,6.7,25.79,0,5.19,0.8,2.4,1.79,1.79
2095,"Cereals ready-to-eat,  GOLDEN CRISP",100,380,1.7,0.2,0,5.5,90.1,5,53.6,0,1.7,0.2,0.6,0.6,1.4
